Designator,Mid X,Mid Y,Rotation,Layer
C9,390.1,-60.95,180.0,bottom
D_100,408.075,-148.3,90.0,bottom
D_101,427.125,-148.3,90.0,bottom
D_102,443.36,-151.29,90.0,bottom
D_103,452.41,-161.8,0.0,bottom
D_104,61.35,-161.2,180.0,bottom
D_105,78.05,-173.45,180.0,bottom
D_106,99.5,-173.05,0.0,bottom
D_107,181.75,-166.5,90.0,bottom
D_108,228.85,-169.5,90.0,bottom
D_109,274.65,-165.45,90.0,bottom
D_110,298.5,-166.1,90.0,bottom
D_111,329.35,-172.85,90.0,bottom
D_112,346.1625,-167.35,90.0,bottom
D_113,365.2125,-167.35,90.0,bottom
D_114,384.2625,-167.35,90.0,bottom
D_115,418.6,-167.35,90.0,bottom
D_116,443.63,-170.41,90.0,bottom
D_117,300.7,-107.9,270.0,bottom
D_12,55.65,-63.075,90.0,bottom
D_13,93.75,-63.08,90.0,bottom
D_14,112.8,-63.08,90.0,bottom
D_15,131.85,-63.08,90.0,bottom
D_16,150.9,-63.08,90.0,bottom
D_17,179.475,-63.08,90.0,bottom
D_18,198.525,-63.08,90.0,bottom
D_19,217.575,-63.08,90.0,bottom
D_20,236.625,-63.08,90.0,bottom
D_21,265.2,-63.08,90.0,bottom
D_22,284.25,-63.08,90.0,bottom
D_23,303.3,-63.08,90.0,bottom
D_24,322.35,-63.08,90.0,bottom
D_25,345.825,-63.0,90.0,bottom
D_26,365.18901,-63.052335,90.0,bottom
D_27,384.254516,-62.87013,90.0,bottom
D_28,55.65,-91.15,90.0,bottom
D_29,74.7,-91.15,90.0,bottom
D_30,93.75,-91.15,90.0,bottom
D_31,112.8,-91.15,90.0,bottom
D_32,131.85,-91.15,90.0,bottom
D_33,150.9,-91.15,90.0,bottom
D_34,169.95,-91.15,90.0,bottom
D_35,189.0,-91.15,90.0,bottom
D_36,208.05,-91.15,90.0,bottom
D_37,227.1,-91.15,90.0,bottom
D_38,246.15,-91.15,90.0,bottom
D_39,265.2,-91.15,90.0,bottom
D_40,284.25,-91.15,90.0,bottom
D_41,313.1,-91.15,90.0,bottom
D_42,346.1625,-91.15,90.0,bottom
D_43,365.2125,-91.15,90.0,bottom
D_44,384.2625,-91.15,90.0,bottom
D_45,408.075,-91.15,90.0,bottom
D_46,427.125,-91.15,90.0,bottom
D_47,446.175,-91.15,90.0,bottom
D_48,462.37,-94.11,90.0,bottom
D_49,65.175,-110.2,90.0,bottom
D_50,84.225,-110.2,90.0,bottom
D_51,103.275,-110.2,90.0,bottom
D_52,122.325,-110.2,90.0,bottom
D_53,141.375,-110.2,90.0,bottom
D_54,160.425,-110.2,90.0,bottom
D_55,179.475,-110.2,90.0,bottom
D_56,198.525,-110.2,90.0,bottom
D_57,217.575,-110.2,90.0,bottom
D_58,236.625,-110.2,90.0,bottom
D_59,255.675,-110.2,90.0,bottom
D_60,274.725,-110.2,90.0,bottom
D_61,293.775,-110.2,90.0,bottom
D_62,279.2125,-134.65,90.0,bottom
D_63,346.1625,-110.2,90.0,bottom
D_64,365.2125,-110.2,90.0,bottom
D_65,384.2625,-110.2,90.0,bottom
D_66,408.075,-110.2,90.0,bottom
D_67,427.125,-110.2,90.0,bottom
D_68,445.83,-113.03,90.0,bottom
D_69,452.42,-123.73,0.0,bottom
D_70,69.9375,-128.75,90.0,bottom
D_71,88.9875,-128.75,90.0,bottom
D_72,108.0375,-128.75,90.0,bottom
D_73,127.0875,-128.75,90.0,bottom
D_74,146.1375,-128.75,90.0,bottom
D_75,165.1875,-128.75,90.0,bottom
D_76,184.2375,-128.75,90.0,bottom
D_77,203.2875,-128.75,90.0,bottom
D_78,222.3375,-128.75,90.0,bottom
D_79,241.3875,-128.75,90.0,bottom
D_80,260.4375,-128.75,90.0,bottom
D_81,274.35,-134.65,90.0,bottom
D_82,276.7625,-134.65,90.0,bottom
D_83,408.075,-129.25,90.0,bottom
D_84,427.125,-129.25,90.0,bottom
D_85,443.52,-132.34,90.0,bottom
D_86,61.35,-158.725,180.0,bottom
D_87,79.4625,-148.3,90.0,bottom
D_88,98.5125,-148.3,90.0,bottom
D_89,117.5625,-148.3,90.0,bottom
D_90,136.6125,-148.3,90.0,bottom
D_91,155.6625,-148.3,90.0,bottom
D_92,174.7125,-148.3,90.0,bottom
D_93,193.7625,-148.3,90.0,bottom
D_94,212.8125,-148.3,90.0,bottom
D_95,231.8625,-148.3,90.0,bottom
D_96,250.9125,-148.3,90.0,bottom
D_97,269.9625,-148.3,90.0,bottom
D_98,305.6,-147.9,90.0,bottom
D_99,365.2125,-148.3,90.0,bottom
J5,419.85,-52.45,90.0,top
K_100,399.55,-146.8,0.0,top
K_101,418.6,-146.8,0.0,top
K_102,437.65,-146.8,0.0,top
K_103,456.72,-156.32,0.0,top
K_104,49.5,-166.5,0.0,top
K_104B1,47.125,-166.5,180.0,top
K_105,73.32,-166.5,0.0,top
K_105B1,68.54875,-166.5,180.0,top
K_106,97.13,-166.5,0.0,top
K_106B1,89.96875,-166.5,180.0,top
K_107,168.56,-166.5,0.0,top
K_107B1,166.16875,-166.5,180.0,top
K_108,240.0,-166.5,0.0,top
K_108C1,242.36875,-166.5,180.0,top
K_109,263.82,-166.5,0.0,top
K_110,287.63,-166.5,0.0,top
K_111,311.44,-166.5,0.0,top
K_112,337.6375,-165.85,0.0,top
K_113,356.6875,-165.85,0.0,top
K_114,375.7375,-165.85,0.0,top
K_115,409.075,-165.85,0.0,top
K_116,437.65,-165.85,0.0,top
K_12,47.125,-61.075,0.0,top
K_13,85.225,-61.08,0.0,top
K_14,104.275,-61.08,0.0,top
K_15,123.325,-61.08,0.0,top
K_16,142.375,-61.08,0.0,top
K_17,170.95,-61.08,0.0,top
K_18,190.0,-61.08,0.0,top
K_19,209.05,-61.08,0.0,top
K_20,228.1,-61.08,0.0,top
K_21,256.675,-61.08,0.0,top
K_22,275.725,-61.08,0.0,top
K_23,294.775,-61.08,0.0,top
K_24,313.825,-61.08,0.0,top
K_25,337.6375,-61.075,0.0,top
K_26,356.6875,-61.075,0.0,top
K_27,375.7375,-61.075,0.0,top
K_28,47.125,-89.65,0.0,top
K_29,66.175,-89.65,0.0,top
K_30,85.225,-89.65,0.0,top
K_31,104.275,-89.65,0.0,top
K_32,123.325,-89.65,0.0,top
K_33,142.375,-89.65,0.0,top
K_34,161.425,-89.65,0.0,top
K_35,180.475,-89.65,0.0,top
K_36,199.525,-89.65,0.0,top
K_37,218.575,-89.65,0.0,top
K_38,237.625,-89.65,0.0,top
K_39,256.675,-89.65,0.0,top
K_40,275.725,-89.65,0.0,top
K_41,304.3,-89.65,0.0,top
K_42,337.6375,-89.65,0.0,top
K_43,356.6875,-89.65,0.0,top
K_44,375.7375,-89.65,0.0,top
K_45,399.55,-89.65,0.0,top
K_46,418.6,-89.65,0.0,top
K_47,437.65,-89.65,0.0,top
K_48,456.7,-89.65,0.0,top
K_49,51.8875,-108.7,0.0,top
K_50,75.7,-108.7,0.0,top
K_51,94.75,-108.7,0.0,top
K_52,113.8,-108.7,0.0,top
K_53,132.85,-108.7,0.0,top
K_54,151.9,-108.7,0.0,top
K_55,170.95,-108.7,0.0,top
K_56,190.0,-108.7,0.0,top
K_57,209.05,-108.7,0.0,top
K_58,228.1,-108.7,0.0,top
K_59,247.15,-108.7,0.0,top
K_60,266.2,-108.7,0.0,top
K_61,285.25,-108.7,0.0,top
K_62,311.44,-118.22,90.0,top
K_63,337.6375,-108.7,0.0,top
K_64,356.6875,-108.7,0.0,top
K_65,375.7375,-108.7,0.0,top
K_66,399.55,-108.7,0.0,top
K_67,418.6,-108.7,0.0,top
K_68,437.65,-108.7,0.0,top
K_69,456.7,-118.2,0.0,top
K_70,54.26875,-127.75,270.0,top
K_70B1,49.45,-127.7,90.0,top
K_71,80.4625,-127.75,0.0,top
K_72,99.5125,-127.75,0.0,top
K_73,118.5625,-127.75,0.0,top
K_74,137.6125,-127.75,0.0,top
K_75,156.6625,-127.75,0.0,top
K_76,175.7125,-127.75,0.0,top
K_77,194.7625,-127.75,0.0,top
K_78,213.8125,-127.75,0.0,top
K_79,232.8625,-127.75,0.0,top
K_80,251.9125,-127.75,0.0,top
K_81,270.9625,-127.75,0.0,top
K_82,290.0125,-127.75,90.0,top
K_83,399.55,-127.75,0.0,top
K_84,418.6,-127.75,0.0,top
K_85,437.65,-127.75,0.0,top
K_86,49.50625,-146.8,0.0,top
K_87,70.9375,-146.8,0.0,top
K_88,89.9875,-146.8,0.0,top
K_89,109.0375,-146.8,0.0,top
K_90,128.0875,-146.8,0.0,top
K_91,147.1375,-146.8,0.0,top
K_92,166.1875,-146.8,0.0,top
K_93,185.2375,-146.8,0.0,top
K_94,204.2875,-146.8,0.0,top
K_95,223.3375,-146.8,0.0,top
K_96,242.3875,-146.8,0.0,top
K_97,261.4375,-146.8,0.0,top
K_98,297.15625,-146.8,0.0,top
K_99,356.6875,-146.8,0.0,top
K_ANSI_1,59.04,-146.8,180.0,top
K_ANSI_2,301.92,-127.76,90.0,top
K_ANSI_3,309.06,-108.7,270.0,top
R5,393.96,-61.69,90.0,bottom
R6,396.88,-61.68,90.0,bottom
R8,390.1,-62.95,180.0,bottom
SW1,405.85,-53.15,180.0,bottom
SW2,413.7,-53.15,180.0,bottom
U2,437.25,-66.05,90.0,top
USB1,395.1,-55.8,0.0,bottom
